index,timestamp_sec,x,y,z,yaw,pitch,fov
1,2066.177000,-15.229976724,16.391784161,-358.155693537,17.111794167,-0.026999987,160.000000000
2,2076.159000,-15.229976724,28.166784629,-358.155693537,15.602794154,-0.116999988,160.000000000
3,2080.625000,-15.907577327,26.668467630,-333.915464424,15.689794154,-0.062999988,160.000000000
4,2081.186000,-16.010930138,26.309605184,-328.227711043,15.689794154,-0.062999988,160.000000000
5,2081.783000,-16.119722570,25.931855241,-322.240602221,15.689794154,-0.062999988,160.000000000
6,2082.516000,-16.261152732,25.440780315,-314.457360752,15.689794154,-0.062999988,160.000000000
7,2083.162000,-16.386264030,25.006367881,-307.572185606,15.689794154,-0.062999988,160.000000000
8,2083.876000,-16.527694192,24.515292955,-299.788944138,15.689794154,-0.062999988,160.000000000
9,2084.351000,-16.616088043,24.208371127,-294.924418220,15.689794154,-0.062999988,160.000000000
10,2084.802000,-16.617447948,24.203649253,-294.849579359,15.689794154,-0.062999988,160.000000000
11,2085.439000,-16.626967286,24.170596133,-294.325707337,15.689794154,-0.062999988,160.000000000
12,2090.636000,-16.626967286,19.145595933,-294.325707337,16.952794165,-0.755999994,160.000000000
13,2091.057000,-16.626967286,17.795595879,-294.325707337,16.952794165,-0.755999994,160.000000000
14,2093.607000,-16.626967286,15.245595778,-294.325707337,17.168794167,-0.221999989,160.000000000
15,2094.430000,-16.626967286,14.795595760,-294.325707337,17.168794167,-0.221999989,160.000000000
16,2102.176000,20.877044939,13.222541937,-292.711036945,17.234794168,-0.038999987,160.000000000
17,2110.870000,23.946737635,24.727647832,-292.575989570,14.174794141,-0.125999988,160.000000000
18,2111.676000,23.946737635,25.177647850,-292.575989570,14.174794141,-0.125999988,160.000000000
19,2115.421000,23.894730605,24.381392595,-273.649665528,15.713794155,0.054000014,160.000000000
20,2115.900000,23.924424613,24.656658849,-268.557185894,15.713794155,0.054000014,160.000000000
21,2116.215000,23.943638382,24.834772308,-265.262052014,15.713794155,0.054000014,160.000000000
22,2122.629000,24.177792555,19.290732748,-266.304055096,17.183794167,-0.842999994,160.000000000
23,2123.076000,24.177792555,18.615732721,-266.304055096,17.183794167,-0.842999994,160.000000000
24,2125.366000,24.177792555,17.040732659,-266.304055096,20.282794194,-0.590999992,160.000000000
25,2128.371000,34.372987362,15.870869027,-266.633915469,17.303794168,-0.101999988,160.000000000
26,2128.928000,35.342615920,15.771591391,-266.658194779,17.303794168,-0.101999988,160.000000000
27,2134.851000,36.697834578,26.635415106,-266.925081311,20.306794194,-0.005999987,160.000000000
28,2139.154000,36.726406824,26.597659547,-267.372583446,18.785794181,-0.083999988,160.000000000
29,2139.579000,36.954984793,26.295615077,-270.952600524,18.785794181,-0.083999988,160.000000000
30,2140.184000,37.259755418,25.892889115,-275.725956628,18.785794181,-0.083999988,160.000000000
31,2140.623000,37.469285223,25.616015017,-279.007638949,18.785794181,-0.083999988,160.000000000
32,2141.184000,37.755007685,25.238459428,-283.482660297,18.785794181,-0.083999988,160.000000000
33,2141.700000,38.040730146,24.860903840,-287.957681645,18.785794181,-0.083999988,160.000000000
34,2142.226000,38.440741592,24.332326016,-294.222711531,18.785794181,-0.083999988,160.000000000
35,2142.878000,38.955042022,23.652725956,-302.277749957,18.785794181,-0.083999988,160.000000000
36,2143.326000,39.316957140,23.174488877,-307.946110331,18.785794181,-0.083999988,160.000000000
37,2143.840000,39.736016750,22.620740681,-314.509474974,18.785794181,-0.083999988,160.000000000
38,2144.071000,39.926498391,22.369036955,-317.492822539,18.785794181,-0.083999988,160.000000000
39,2147.321000,39.940287288,22.137315787,-319.198340978,18.884794182,-0.173999988,160.000000000
40,2147.656000,39.854407294,21.708835571,-321.634455675,18.884794182,-0.173999988,160.000000000
41,2152.394000,38.867200779,13.456394268,-323.534703363,20.312794194,-0.101999988,160.000000000
42,2154.001000,30.071840470,13.265371755,-324.431666757,20.342794195,-0.002999987,160.000000000
43,2154.443000,24.389000692,13.248271855,-324.873302621,20.342794195,-0.002999987,160.000000000
44,2154.825000,19.603451406,13.233871938,-325.245206507,20.342794195,-0.002999987,160.000000000
45,2155.179000,14.817902119,13.219472022,-325.617110393,20.342794195,-0.002999987,160.000000000
46,2155.640000,8.835965511,13.201472126,-326.081990250,20.342794195,-0.002999987,160.000000000
47,2156.154000,1.794029730,13.180772246,-324.522914851,20.342794195,-0.002999987,160.000000000
48,2156.616000,-4.579980099,13.161872355,-323.814645996,20.342794195,-0.002999987,160.000000000
49,2157.032000,-9.365529385,13.147472439,-324.186549882,20.342794195,-0.002999987,160.000000000
50,2157.495000,-13.253788180,13.135772507,-324.488721789,20.342794195,-0.002999987,160.000000000
51,2157.930000,-16.842950145,13.124972569,-324.767649703,20.342794195,-0.002999987,160.000000000
52,2161.047000,-17.142046976,15.599072673,-324.790893696,21.995794209,0.021000013,160.000000000
53,2161.240000,-17.142046976,15.899072685,-324.790893696,21.995794209,0.021000013,160.000000000
54,2161.702000,-17.142046976,16.649072715,-324.790893696,21.995794209,0.021000013,160.000000000
55,2162.162000,-17.142046976,17.549072750,-324.790893696,21.995794209,0.021000013,160.000000000
56,2162.627000,-17.142046976,18.749072798,-324.790893696,21.995794209,0.021000013,160.000000000
57,2163.110000,-17.142046976,19.874072843,-324.790893696,21.995794209,0.021000013,160.000000000
58,2163.650000,-17.142046976,21.149072894,-324.790893696,21.995794209,0.021000013,160.000000000
59,2164.094000,-17.142046976,22.424072944,-324.790893696,21.995794209,0.021000013,160.000000000
60,2164.593000,-17.142046976,23.999073007,-324.790893696,21.995794209,0.021000013,160.000000000
61,2165.100000,-17.142046976,25.499073066,-324.790893696,21.995794209,0.021000013,160.000000000
62,2165.659000,-17.142046976,26.174073093,-324.790893696,21.995794209,0.021000013,160.000000000
